sentence,short_first
just like your book at home .,just like your book at home .
do you want to look at that it says look ?,do you want to look at that it says look ?
see .,see .
there's a face with glasses .,there 's a face with glasses .
aha .,aha .
look there's pooh bear .,look there 's pooh bear .
there's a baby bear with his bottle .,there 's a baby bear with his bottle .
who's that ?,who 's that ?
is that child .,is that child .
aha i think i see child .,aha i think i see child .
there he is .,there he is .
there he is .,there he is .
yeah yeah there he is .,there he yeah yeah is .
you see yourself .,you see yourself .
that's my pretty baby boy .,that 's my pretty baby boy .
i'm sorry that's handsome baby boy .,i 'm sorry that 's handsome baby boy .
you like that .,you like that .
yeah .,yeah .
look there's a bunny rabbit .,look there 's a bunny rabbit .
see .,see .
there's kitty cat .,there 's kitty cat .
oh .,oh .
kitty cat .,kitty cat .
and who's this it's a baby .,and it a baby 's who 's this .
it's a baby .,it 's a baby .
yeah .,yeah .
want to look at that .,want to look at that .
oh .,oh .
does it fit your mouth .,does it fit your mouth .
let's see what else there is in here .,let 's see there what else is in here .
there's a .,there 's a .
a pink pig .,a pink pig .
oink .,oink .
you like that book it's very red .,it very red 's you like that book .
red is a good thing isn't it .,n't is it red is a good thing .
oink .,oink .
oink .,oink .
oink .,oink .
oink .,oink .
oink .,oink .
oink .,oink .
you want your book back don't you .,n't do you you want back your book .
let's see do you want to see who this is .,let 's see do you want to see who this is .
this is big bird .,this is big bird .
enough with that .,enough with that .
can you read your book again you like the book ?,can you read again your book you like the book ?
look .,look .
see .,see .
you want to see if it fits in your mouth .,you want to see if it fits in your mouth .
is that what you want to see .,is that you want what to see .
oh that's too big .,oh that 's too big .
what do you know ?,what do you know ?
you want to hold it like that .,you want to hold it like that .
whoop ?,whoop ?
here .,here .
there's baby bear with his bottle .,there 's baby bear with his bottle .
see baby bear .,see baby bear .
yeah see baby bear .,yeah see baby bear .
and then who's this .,and then who 's this .
who's that ?,who 's that ?
who's picture is that do you see yourself in the mirror ?,that is who 's picture do you see yourself in the mirror ?
that's child .,that 's child .
still want to see if it fits in your mouth .,still want to see if it fits in your mouth .
oh what do you think .,oh what do you think .
does it fit nice .,does it fit nice .
that's such a pretty red .,that 's such a pretty red .
it's red like your socks .,it 's red like your socks .
and red like your the edging on your outfit and all those other things .,the and edging on your outfit and red like your all those other things .
yeah .,yeah .
look here's something else i know you like at home can you look at this one .,look can you at this one look here 's something else i know you like at home .
you just love that book .,you just love that book .
that is so much fun the way that fits in your mouth .,that is so much fun the way that fits in your mouth .
do you see cookie monster over there ?,do you see cookie monster over there ?
is that who you are looking at .,is that you are looking who at .
that fits in your mouth oh that's just great .,oh that just great 's that fits in your mouth .
that's just great .,that 's just great .
it fits in your mouth .,it fits in your mouth .
hey can we try this .,hey can we try this .
i'm going to put your hand on this .,i 'm going to put your hand on this .
you can grab this this is pretty neat because you can grab it just right .,this pretty neat is you can grab this because you can grab it just right .
there you got it .,there you got it .
good job .,good job .
you want this back in your hand .,you want this back in your hand .
you want it in this hand maybe .,you want it maybe in this hand .
let's open your fingers a little bit .,let 's open your fingers a little bit .
can i help you by opening your fingers .,can i help you by opening your fingers .
there .,there .
you got it .,you got it .
you got it .,you got it .
oh you got it .,oh you got it .
good for you .,good for you .
you want it to make noise .,you want it to make noise .
there are some beautiful colors in here aren't there .,n't are there there are in here some beautiful colors .
that is so neat the way it does that .,that is so neat the way it does that .
you want it back .,you want it back .
oh you got it you got it .,oh you it got you got it .
yeah child .,yeah child .
do you like sitting up in that seat that's pretty neat ?,do you like sitting up in that seat that 's pretty neat ?
you're almost there .,you 're almost there .
you got it .,you got it .
here .,here .
yeah .,yeah .
oh .,oh .
is that so fun .,is that so fun .
you want to catch it .,you want to catch it .
catch it catch it .,catch it catch it .
