global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference,loose_default_ratio,loose_balanced_cf_ratio,noditrans_cf_ratio,nodative_cf_ratio,counterfactual_ratio,short_first_noditransitive_ratio,random_first_noditransitive_ratio,long_first_noditransitive_ratio
9437,I' ll give you a tip.,give,give,you,a,a tip,i,give you a tip,VB,3,i,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,I' ll give a tip to you.,,1,2,-0.6931471806,0.5350589752197266,-0.10899496078491211,-0.3138735294342041,-0.3193166255950928,-0.6164999008178711,0.09124183654785156,0.17333602905273438,0.8005270957946777
22162,"Rodolfo gives Mimi the pink bonnet he bought her, which he has kept as a souvenir of their love.",give,gives,mimi,a,"the pink bonnet he bought her , which he has kept as a souvenir of their love",i,"gives mimi the pink bonnet he bought her , which he has kept as a souvenir of their love",VBZ,1,rodolfo,NNP,PROPN,2,NN,NOUN,3,,,21,dative,alternating,"Rodolfo gives the pink bonnet he bought her, which he has kept as a souvenir of their love to Mimi.",,1,16,-2.772588722,0.2598261833190918,0.0986638069152832,0.06922769546508789,-0.025485515594482422,0.01904010772705078,-0.08128738403320312,-0.3638768196105957,0.14363908767700195
11186,It was I who handed him your letter.,hand,handed,him,a,your letter,i,handed him your letter,VBD,4,who,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,It was I who handed your letter to him.,,1,2,-0.6931471806,-0.23563861846923828,0.05095314979553223,-0.378049373626709,-0.1798994541168213,-0.2530229091644287,-0.6337523460388184,-0.6360158920288086,-0.8202338218688965
14895,I give you the command,give,give,you,a,the command,i,give you the command,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,alternating,I give the command to you,,1,2,-0.6931471806,-0.582125186920166,-0.6051757335662842,-0.9487228393554688,-0.7095909118652344,-0.9962913990020752,-0.9660334587097168,-0.04334259033203125,1.1750097274780273
18960,- so kind of just toss 'em about a bit - give 'em a good old shake and then what I'm gonna do is just get 'em in the oven,give,give,em,i,a good old shake,i,give em a good old shake,VB,11,,PRP,PRON,12,NN,NOUN,13,,,32,dative,alternating,- so kind of just toss 'em about a bit - give a good old shake to 'em and then what I'm gonna do is just get 'em in the oven,,1,4,-1.386294361,0.24325180053710938,-0.024747133255004883,0.04723954200744629,0.039656877517700195,-0.1457071304321289,0.1316080093383789,-0.2490234375,-0.14142560958862305
12299,"I wanted to buy you a drink, both of you.",buy,buy,you,a,a drink,i,buy you a drink,VB,3,,PRP,PRON,4,NN,NOUN,5,,,12,dative,benefactive_alternating,"I wanted to buy a drink for you, both of you.",,1,2,-0.6931471806,0.13578391075134277,-0.10448193550109863,-0.5020513534545898,-0.42967724800109863,-0.5307884216308594,-0.47278833389282227,-0.45255327224731445,-0.06814050674438477
2732,I just gave her that!,give,gave,her,a,that,i,gave her that,VBD,2,i,PRP,PRON,3,DT,PRON,4,,,6,dative,alternating,I just gave that to her!,,1,1,0.0,-0.2051849365234375,-0.9356160163879395,0.19558382034301758,-0.539085865020752,-0.6496639251708984,-0.14328479766845703,-0.2986297607421875,0.9280509948730469
4276,I am sure the prince will give us all some tea.,give,give,us all,a,some tea,i,give us all some tea,VB,6,the prince,PRP,PRON,7,NN,NOUN,9,,,12,dative,alternating,I am sure the prince will give some tea to us all.,,2,2,0.0,0.20546269416809082,-0.5230405330657959,-0.5467648506164551,-0.3803277015686035,-0.7160897254943848,0.06389999389648438,-0.044512271881103516,0.48691654205322266
4315,"“Well, I don’t mind telling you the truth you only!",tell,telling,you,a,the truth,i,telling you the truth,VBG,7,,PRP,PRON,8,NN,NOUN,9,,,14,dative,alternating,"“Well, I don’t mind telling the truth to you you only!",,1,2,-0.6931471806,-0.01179957389831543,-0.2652008533477783,-0.14238309860229492,-0.36398959159851074,-0.3251659870147705,0.05512428283691406,-0.11646485328674316,-0.10770988464355469
83,yeah he's got him some cookies?,get,got,him,a,some cookies,i,got him some cookies,VBD,3,,PRP,PRON,4,NNS,NOUN,5,,,8,dative,benefactive_alternating,yeah he's got some cookies for him?,,1,2,-0.6931471806,-0.6230249404907227,-0.6020514965057373,-1.2582929134368896,-1.1811599731445312,-0.7720990180969238,-0.6650660037994385,-0.6538996696472168,-0.3881716728210449
5171,"Before leaving he gave her a flower, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,give,gave,her,a,a flower,i,gave her a flower,VBD,3,he,PRP,PRON,4,NN,NOUN,5,,,51,dative,alternating,"Before leaving he gave a flower to her, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,,1,2,-0.6931471806,-0.08504724502563477,-0.12904047966003418,-0.1939830780029297,-0.15417218208312988,-0.07114958763122559,0.0025987625122070312,-0.07662010192871094,-0.044404029846191406
20350,Can I offer you a drink?,offer,offer,you,a,a drink,i,offer you a drink,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,Can I offer a drink to you?,,1,2,-0.6931471806,0.606703519821167,-0.2799954414367676,0.1481945514678955,-0.02203679084777832,-0.6633367538452148,0.12861394882202148,0.2752664089202881,0.4447636604309082
12549,"Ah, show 'em your stuff, girl.",show,show,em,a,your stuff,i,show em your stuff,VB,2,,PRP,PRON,3,NN,NOUN,4,,,9,dative,alternating,"Ah, show your stuff to 'em, girl.",,1,2,-0.6931471806,0.5377302169799805,-0.18224215507507324,0.08679866790771484,0.426668643951416,-0.42372703552246094,0.00445556640625,0.29057931900024414,0.10427427291870117
1874,You just leave me a note to remind me.,leave,leave,me,a,a note to remind me,i,leave me a note to remind me,VB,2,you,PRP,PRON,3,NN,NOUN,4,,,10,dative,alternating/benefactive_alternating,You just leave a note to remind me for me.,,1,5,-1.609437912,0.4063229560852051,0.188690185546875,0.12299537658691406,-0.2926366329193115,0.07456445693969727,-0.032706260681152344,0.10690832138061523,0.15615129470825195
7706,"Mr McQueen went into the house with a heavy heart, and told his wife the bad news.",tell,told,his wife,a,the bad news,i,told his wife the bad news,VBD,12,,NN,NOUN,13,NN,NOUN,15,,,19,dative,alternating,"Mr McQueen went into the house with a heavy heart, and told the bad news to his wife.",,2,3,-0.4054651081,-0.08061599731445312,-0.12696409225463867,-0.3052334785461426,0.14367914199829102,-0.35930871963500977,-0.022149085998535156,0.1511063575744629,-0.19089603424072266
6569,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give Wah-bee-noh twenty ponies to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",give,give,wah-bee-noh,a,twenty ponies,b,give wah-bee-noh twenty ponies,VB,22,he,NNP,PROPN,23,NNS,NOUN,24,,,51,dative,alternating,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give twenty ponies to Wah-bee-noh to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",,1,2,-0.6931471806,-0.024288177490234375,-0.05086088180541992,-0.08852767944335938,-0.0632929801940918,-0.06649303436279297,-0.08347129821777344,-0.1780557632446289,-0.08924245834350586
5181,"""Make him a dish of kheer (rice cooked with milk and sugar); and besides this, to please him, another dish of pearls. """,make,Make,him,a,a dish of kheer ( rice cooked with milk and sugar ),i,Make him a dish of kheer ( rice cooked with milk and sugar ),VB,1,,PRP,PRON,2,NN,NOUN,3,,,30,dative,do_only/benefactive_alternating,"""Make a dish of kheer ( rice cooked with milk and sugar ) for him; and besides this, to please him, another dish of pearls. """,,1,10,-2.302585093,-0.1515488624572754,-0.1938333511352539,-0.10317134857177734,-0.09750747680664062,-0.12711477279663086,-0.05816030502319336,-0.06276988983154297,-0.1748499870300293
16971,"Fatima, give me a fudge sundae.",give,give,me,a,a fudge sundae,i,give me a fudge sundae,VB,2,,PRP,PRON,3,NN,NOUN,4,,,8,dative,alternating,"Fatima, give a fudge sundae to me.",,1,3,-1.098612289,0.30941104888916016,-0.29634618759155273,-0.35912036895751953,0.08502674102783203,-0.3016176223754883,0.7549982070922852,0.1617431640625,0.2128133773803711
14845,"Surrounded by people who adore you, people who might tell this girl heart-tugging stories about how you inspired their sons to join the navy.",tell,tell,this girl,a,heart-tugging stories about how you inspired their sons to join the navy,i,tell this girl heart-tugging stories about how you inspired their sons to join the navy,VB,10,who,NN,NOUN,11,NNS,NOUN,13,,,26,dative,alternating,"Surrounded by people who adore you, people who might tell heart-tugging stories about how you inspired their sons to join the navy to this girl.",,2,12,-1.791759469,0.19981908798217773,0.04189348220825195,0.04752397537231445,0.007462024688720703,-0.028417587280273438,0.09546375274658203,-0.04186105728149414,-0.13556766510009766
640,you gave me the mixed up alien there.,give,gave,me,a,the mixed up alien,a,gave me the mixed up alien,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,you gave the mixed up alien to me there.,,1,4,-1.386294361,0.15242671966552734,0.07908296585083008,-0.026372909545898438,0.04862642288208008,-0.5974760055541992,0.4987316131591797,-0.0644826889038086,0.10579252243041992
17795,"You gave yourself a great name such as Jiraiya, but you can't fool me!",give,gave,yourself,a,a great name such as jiraiya,i,gave yourself a great name such as jiraiya,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,17,dative,alternating,"You gave a great name such as jiraiya to yourself, but you can't fool me!",,1,6,-1.791759469,0.1264498233795166,0.020099163055419922,-0.01317596435546875,-0.23491692543029785,-0.2306666374206543,0.08054494857788086,0.08175468444824219,0.2987194061279297
14466,Do me proud and show me your moves.,show,show,me,a,your moves,i,show me your moves,VB,4,,PRP,PRON,5,NNS,NOUN,6,,,9,dative,alternating,Do me proud and show your moves to me.,,1,2,-0.6931471806,0.4674663543701172,-0.17467117309570312,-0.14874935150146484,-0.2078242301940918,0.034105777740478516,0.08427286148071289,-0.23743486404418945,-0.15181779861450195
22736,"France gave Mali the names ""French Sudan"" and the ""Sudanese Republic"".",give,gave,mali,i,"the names "" french sudan "" and the "" sudanese republic """,i,"gave mali the names "" french sudan "" and the "" sudanese republic """,VBD,1,france,NNP,PROPN,2,NNS,NOUN,3,,,16,dative,alternating,"France gave the names "" french sudan "" and the "" sudanese republic "" to Mali.",,1,8,-2.079441542,-0.5109782218933105,-0.45963001251220703,-0.34645938873291016,-0.5245418548583984,-0.5503501892089844,-1.0064988136291504,-1.2270784378051758,-0.9541740417480469
4510,I told you the truth when I said I did not know why I thought of you before all others.,tell,told,you,a,the truth,i,told you the truth,VBD,1,i,PRP,PRON,2,NN,NOUN,3,,,21,dative,alternating,I told the truth to you when I said I did not know why I thought of you before all others.,,1,2,-0.6931471806,0.06555962562561035,-0.07148480415344238,-0.1312880516052246,-0.21017980575561523,-0.09747123718261719,-0.020028114318847656,0.1045382022857666,-0.0041561126708984375
24193,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned him 27 major Division I scholarship offers.",earn,earned,him,a,27 major division i scholarship offers,i,earned him 27 major division i scholarship offers,VBD,16,his 764 receiving yards,PRP,PRON,17,NNS,NOUN,18,,,25,dative,benefactive_alternating,"As a sophomore, his tackle total declined to 56, but his 764 receiving yards earned 27 major division i scholarship offers for him.",,1,6,-1.791759469,0.08765983581542969,-0.29056787490844727,-0.12610101699829102,-0.3317866325378418,-0.062436580657958984,-0.10108709335327148,-0.09828948974609375,-0.2180461883544922
5649,"Colonization had at first been regarded as a possible solution of the race problem; money was now given, however, ""rather as an aid to the establishment of a model Negro republic in Africa, whose effort would be to discourage the slave-trade, and encourage energy and thrift among those free Negroes from the United States who chose to emigrate, and to give native Africans a demonstration of the advantages of civilization.",give,give,native africans,a,a demonstration of the advantages of civilization,i,give native africans a demonstration of the advantages of civilization,VB,67,,NNPS,PROPN,68,NN,NOUN,70,,,78,dative,alternating,"Colonization had at first been regarded as a possible solution of the race problem; money was now given, however, ""rather as an aid to the establishment of a model Negro republic in Africa, whose effort would be to discourage the slave-trade, and encourage energy and thrift among those free Negroes from the United States who chose to emigrate, and to give a demonstration of the advantages of civilization to native Africans.",,2,7,-1.252762968,-0.011236190795898438,-0.11391115188598633,-0.08375740051269531,-0.05351448059082031,-0.057193756103515625,-0.04701662063598633,-0.0796060562133789,-0.01099538803100586
16352,I send him my de Hory book.,send,send,him,a,my de hory book,i,send him my de hory book,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,8,dative,alternating,I send my de hory book to him.,,1,4,-1.386294361,-0.16791629791259766,-1.0470190048217773,-0.4791584014892578,-0.5384917259216309,-0.5737323760986328,-0.01833057403564453,-0.6561603546142578,-0.2518343925476074
9621,"He showed me the sights, we popped into The Green Tree...",show,showed,me,a,the sights,i,showed me the sights,VBD,1,he,PRP,PRON,2,NNS,NOUN,3,,,15,dative,alternating,"He showed the sights to me, we popped into The Green Tree...",,1,2,-0.6931471806,0.24188804626464844,-0.17769098281860352,0.1040949821472168,-0.1360306739807129,-0.5009708404541016,0.056262969970703125,-0.23599815368652344,0.03282642364501953
5007,This spicily-scented blossom told him an exciting story of intrigue and adventure in high places.,tell,told,him,a,an exciting story of intrigue and adventure in high places,i,told him an exciting story of intrigue and adventure in high places,VBD,3,this spicily-scented blossom,PRP,PRON,4,NN,NOUN,5,,,16,dative,alternating,This spicily-scented blossom told an exciting story of intrigue and adventure in high places to him.,,1,10,-2.302585093,0.19922733306884766,-0.30336570739746094,-0.036998748779296875,-0.12311029434204102,-0.30695343017578125,0.021995067596435547,-0.28131532669067383,-0.42657947540283203
