recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_lemma
1,2,-0.6931471805599453,0.5,-0.5,0.4803543091,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2902479172,-0.5,hand
1,5,-1.6094379124341003,0.5,-0.5,0.03371763229,-0.5,leave
1,2,-0.6931471805599453,0.5,-0.5,-0.5208692551,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.2100007534,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.121809721,-0.5,buy
1,1,0.0,0.5,0.5,-0.7957975864,-0.5,give
2,2,0.0,0.5,-0.5,0.2751295567,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1676766872,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,-0.8735766411,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.06566762924,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.107421875,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.4352037907,-0.5,offer
1,2,-0.6931471805599453,0.5,-0.5,0.3926253319,-0.5,show
1,5,-1.6094379124341003,0.5,-0.5,0.3855907917,-0.5,leave
1,10,-2.3025850929940455,0.5,-0.5,-0.1019027233,-0.5,make
1,3,-1.0986122886681098,0.5,-0.5,0.2088298798,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.009603500366,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.3631515503,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.4566628933,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.09065055847,-0.5,tell
1,6,-1.791759469228055,0.5,-0.5,-0.01297044754,-0.5,earn
1,4,-1.3862943611198906,0.5,-0.5,-0.6464958191,-0.5,send
1,2,-0.6931471805599453,0.5,-0.5,0.1566104889,-0.5,show
1,10,-2.3025850929940455,0.5,-0.5,0.05789899826,-0.5,tell
1,5,-1.6094379124341003,0.5,-0.5,0.7363677025,-0.5,give
1,1,0.0,0.5,0.5,0.0657145977,-0.5,tell
1,1,0.0,0.5,-0.5,0.05711603165,-0.5,bring
1,5,-1.6094379124341003,0.5,-0.5,0.4870343208,-0.5,give
1,7,-1.9459101490553135,0.5,0.5,0.374448061,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.4215331078,-0.5,give
1,1,0.0,0.5,-0.5,-0.07819461823,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.2559378147,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.07370710373,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,0.8136630058,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.007590293884,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1945240498,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,-0.283614397,-0.5,read
1,2,-0.6931471805599453,0.5,-0.5,-0.1254076958,-0.5,lend
1,2,-0.6931471805599453,0.5,-0.5,0.09619283676,-0.5,give
1,1,0.0,0.5,0.5,0.1781122684,-0.5,give
1,1,0.0,0.5,0.5,0.160479784,-0.5,teach
1,1,0.0,0.5,0.5,1.028131962,-0.5,tell
1,6,-1.791759469228055,0.5,0.5,-0.01359510422,-0.5,send
1,2,-0.6931471805599453,0.5,-0.5,0.3610153198,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.5030038357,-0.5,tell
1,1,0.0,0.5,0.5,0.2100939751,-0.5,show
1,1,0.0,0.5,0.5,0.3744790554,-0.5,ask
1,2,-0.6931471805599453,0.5,-0.5,0.6195423603,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.02487707138,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.7477083206,-0.5,tell
1,1,0.0,0.5,0.5,-0.3324506283,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.274545908,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.3336439133,-0.5,give
1,1,0.0,0.5,0.5,0.03319764137,-0.5,tell
1,5,-1.6094379124341003,0.5,-0.5,-0.09703683853,-0.5,offer
1,8,-2.0794415416798357,0.5,-0.5,0.1146245003,-0.5,buy
1,1,0.0,0.5,-0.5,-0.1848731041,-0.5,make
1,1,0.0,0.5,0.5,-0.1146943569,-0.5,offer
1,1,0.0,0.5,-0.5,-0.3176672459,-0.5,give
1,1,0.0,0.5,0.5,0.5493724346,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.08756065369,-0.5,tell
1,1,0.0,0.5,-0.5,0.1013047695,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.8185708523,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,-0.3684959412,-0.5,assign
1,1,0.0,0.5,0.5,0.3675885201,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,0.4651236534,-0.5,ask
1,7,-1.9459101490553135,0.5,-0.5,-0.1172227859,-0.5,earn
1,2,-0.6931471805599453,0.5,-0.5,-0.2823412418,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.006012201309,-0.5,tell
1,11,-2.3978952727983707,0.5,-0.5,-0.00545167923,-0.5,earn
1,2,-0.6931471805599453,0.5,-0.5,-0.204054594,-0.5,order
1,2,-0.6931471805599453,0.5,-0.5,0.03334641457,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.1131734848,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.07512664795,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.5773396492,-0.5,give
