global_idx,sentence,verb,theme,theme.pron,recipient,rec.pron,verb_lemma,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,loose-balanced_ratio,loose-default_ratio,removed_ratio,conti
7995,"So the engagés hitched an unwilling team to the carcass, dragged it to the edge of the river-bank, and rolled it into the water.",dragged,it,i,the edge of the river-bank,n,drag,VBD,11,,IN,ADP,14,PRP,PRON,12,to,13,27,prep,alternating,"So the engagés hitched an unwilling team to the carcass, dragged the edge of the river-bank it, and rolled it into the water.",-0.8927350044,-0.4474561214,-0.5315470695,-0.9046006203,0.3929910659790039,1
22345,Smith felt it was his job to restore plural marriage to the earth.,restore,plural marriage,n,the earth,n,restore,VB,7,,IN,ADP,11,NN,NOUN,8,to,10,14,prep,po_only,Smith felt it was his job to restore the earth plural marriage.,-0.2656855583,-0.5247449875,-0.5840778351,-0.8571333885,0.4518861770629883,1
8026,or I shall arrange your affair for you!,arrange,your affair,n,you,p,arrange,VB,3,i,IN,ADP,7,NN,NOUN,4,for,6,9,dative,benefactive_alternating,or I shall arrange you your affair!,-1.565067291,-0.9082937241,-1.31242466,-1.261608124,0.7714638710021973,1
25712,"The success story noted how ""because of its own successful campaign against water, The Olive Garden has recently sent a powerful message to the entire restaurant industry - less water and more beverage choices mean happier customers"" stating how:",sent,a powerful message less water and more beverage choices mean happier customers,n,the entire restaurant industry,n,send,VBN,20,the olive garden,IN,ADP,25,NN,NOUN,21,to,24,43,dative,alternating,"The success story noted how ""because of its own successful campaign against water, The Olive Garden has recently sent the entire restaurant industry a powerful message - less water and more beverage choices mean happier customers"" stating how:",-0.276778698,-0.1477193832,-0.2526097298,-0.3199920654,0.4987688064575195,0
1431,"But Athens gave the Games to the world, and we're looking at the next one hundred years and if the I O C wants to do something special with Athens in ‘96 and if Athens wants to do it, we assure them that Atlanta will support that effort one hundred per cent.",gave,the games,n,the world,n,give,VBD,2,athens,IN,ADP,6,NNPS,PROPN,3,to,5,57,dative,alternating,"But Athens gave the world the Games, and we're looking at the next one hundred years and if the I O C wants to do something special with Athens in ‘96 and if Athens wants to do it, we assure them that Atlanta will support that effort one hundred per cent.",-0.09574604034,-0.1102700233,-0.06901788712,-0.1545710564,-0.0251626968383789,1
5103,"The Rajah replied not a word, for his heart was filled with envy; and that night, before going to bed, he gave orders that, on a certain day, in the early dawn, before anybody was astir, a party of armed men should take their axes to the village, and fell the mulberry tree even with the ground.",take,their axes,n,the village,n,take,VB,50,a party of armed men,IN,ADP,54,NNS,NOUN,51,to,53,67,prep,alternating,"The Rajah replied not a word, for his heart was filled with envy; and that night, before going to bed, he gave orders that, on a certain day, in the early dawn, before anybody was astir, a party of armed men should take the village their axes, and fell the mulberry tree even with the ground.",-0.2728304863,0.06700849533,-0.04106163979,-0.1500675678,0.0985293388366699,1
8730,Lieutenant Gadben brought the hilt of his sword to his forehead and said something to the Captain in Turkish.,brought,the hilt of his sword,n,his forehead,n,bring,VBD,2,lieutenant gadben,IN,ADP,9,NN,NOUN,3,to,8,20,prep,alternating,Lieutenant Gadben brought his forehead the hilt of his sword and said something to the Captain in Turkish.,-0.6530280113,-0.4246959686,-0.3335356712,-0.6751766205,0.5253443717956543,1
6194,We will not tell this to the father until the time comes.,tell,this,i,the father,n,tell,VB,3,we,IN,ADP,6,DT,PRON,4,to,5,13,dative,alternating,We will not tell the father this until the time comes.,-0.2689433098,-0.384500742,-0.2366788387,-0.3783304691,-0.3064250946044922,1
5865,"Leave it to the AJ and whatever other outfit there is to send pupils, and Mary Hope could teach in the Whipple shack till it rattled down on top of them.",Leave,it,i,the aj and whatever other outfit there is,n,leave,VB,0,,IN,ADP,3,PRP,PRON,1,to,2,33,prep,alternating,"Leave the aj and whatever other outfit there is it to send pupils, and Mary Hope could teach in the Whipple shack till it rattled down on top of them.",-0.3846597672,-0.2239217758,-0.218331337,-0.3585796356,0.1934766769409179,1
6905,"He went down under the hoofs of the enraged animal, as his huge boar- hound, always with him, fastened on the moose's throat, dragged him to the ground, and tore gaping wounds in his neck.",dragged,him,p,the ground,n,drag,VBD,28,,IN,ADP,31,PRP,PRON,29,to,30,42,prep,alternating,"He went down under the hoofs of the enraged animal, as his huge boar- hound, always with him, fastened on the moose's throat, dragged the ground him, and tore gaping wounds in his neck.",-0.2818982601,-0.1676902771,-0.1347503662,-0.3945560455,0.2970819473266601,1
