global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference,loose_default_ratio,loose_balanced_cf_ratio,noditrans_cf_ratio,nodative_cf_ratio,counterfactual_ratio,short_first_noditransitive_ratio,random_first_noditransitive_ratio,long_first_noditransitive_ratio
42,i'm gonna give it to her for christmas?,give,give,her,a,it,i,,VB,4,,IN,PRON,7,PRP,PRON,5,to,6,11,dative,alternating,i'm gonna give her it for christmas?,ADP,1,1,0.0,-0.840399980545044,-0.269881010055542,-0.11720418930053711,-0.20260024070739746,-0.02155160903930664,-0.017181873321533203,-0.33702850341796875,-0.17423057556152344
51,would you read that story to me peter?,read,read,me,a,that story,i,,VB,2,you,IN,PRON,6,NN,NOUN,3,to,5,9,prep,alternating,would you read me that story peter?,ADP,1,2,-0.6931471806,-0.026027441024780273,-0.3827817440032959,-0.8328986167907715,-1.0674543380737305,-0.42963743209838867,-0.0677342414855957,-0.5245590209960938,-0.8890752792358398
57,can you write a letter to your grandma?,write,write,your grandma,a,a letter,i,,VB,2,you,IN,,6,NN,NOUN,3,to,5,9,dative,alternating,can you write your grandma a letter?,ADP,2,2,0.0,-0.8276293277740479,-0.725217342376709,-0.8661069869995117,-0.9554479122161865,-0.20885038375854492,-0.9967138767242432,-0.6797304153442383,0.19274425506591797
60,could you just give it to me and then i'll put it away for awhile okay.,give,give,me,a,it,i,,VB,3,you,IN,PRON,6,PRP,PRON,4,to,5,18,dative,alternating,could you just give me it and then i'll put it away for awhile okay.,ADP,1,1,0.0,-0.08512639999389648,-0.017589807510375977,-0.18245172500610352,-0.05355191230773926,-0.03744339942932129,0.22325849533081055,0.10342764854431152,-0.03302574157714844
64,bring it to me and i'll fix it.,bring,bring,me,a,it,i,,VB,0,,IN,PRON,3,PRP,PRON,1,to,2,10,dative,alternating,bring me it and i'll fix it.,ADP,1,1,0.0,-0.7100825309753418,-0.35410475730895996,-0.31890320777893066,-0.39890098571777344,0.07714962959289551,0.04663491249084473,-0.23570895195007324,-0.14559626579284668
106,would you like to give them to him as a christmas present?,give,give,him,a,them,i,,VB,4,,IN,PRON,7,PRP,PRON,5,to,6,13,dative,alternating,would you like to give him them as a christmas present?,ADP,1,1,0.0,-0.28351616859436035,-0.21298718452453613,-0.1140279769897461,-0.18384981155395508,0.044503211975097656,0.07708978652954102,-0.28539156913757324,-0.28244829177856445
112,can i get it for you?,get,get,you,a,it,i,,VB,2,i,IN,PRON,5,PRP,PRON,3,for,4,7,dative,benefactive_alternating,can i get you it?,ADP,1,1,0.0,-1.1708011627197266,-0.5030455589294434,-0.3487212657928467,-0.9511494636535645,0.055567026138305664,-0.32361793518066406,-0.03921031951904297,0.12927603721618652
126,wanna throw the football to mommy?,throw,throw,mommy,a,the football,i,,VB,1,,IN,,5,NN,NOUN,2,to,4,7,prep,alternating,wanna throw mommy the football?,ADP,1,2,-0.6931471806,-1.403400182723999,-0.7785904407501221,-0.7875218391418457,-1.3845405578613281,-1.0315721035003662,-0.9335222244262695,-0.02811288833618164,-0.6046180725097656
127,i think i should get bigger plates actually for us.,get,get,us,a,bigger plates,i,,VB,4,i,IN,PRON,9,NNS,NOUN,5,for,8,11,dative,benefactive_alternating,i think i should get us bigger plates actually.,ADP,1,2,-0.6931471806,-0.3629794120788574,-0.4115943908691406,-0.9088187217712402,-0.3872814178466797,-0.38062095642089844,-1.072680950164795,-0.707456111907959,-0.5968036651611328
134,wanna paint a picture for her.,paint,paint,her,a,a picture,i,,VB,1,wanna,IN,PRON,5,NN,NOUN,2,for,4,7,dative,benefactive_alternating,wanna paint her a picture.,ADP,1,2,-0.6931471806,-0.23322200775146484,-0.5346889495849609,-0.6162967681884766,-0.6323976516723633,-0.5143709182739258,-0.4893684387207031,-0.7857480049133301,-0.35325145721435547
