index,sentence
49,"If you want Valentina back, you can't tell her what's wrong with Ethan."
65,Alvie told me you instigated the thing.
96,Now we will pay your commissions providing you do a couple of this for us.
232,Let him tell you what he thinks he saw.
249,"Well, tell Wolfe that when I said it was the last time, I meant it."
281,"Diego, tell me this has nothing to do with the English."
351,"One fugitive to another, tell me how you managed to stay off NTAC's radar all these months."
451,"Who says they want Rebecca's ranch for ranching, anyway?"
474,I'll. . . . . simply tell the Cardinal I had a good reason for being here.
494,Housed in an older building on Euclid Avenue it was eventually torn down to make way for the burgeoning growth of Cleveland State University.
530,The sale had a clause that the two Stanley brothers could not build and sell cars for two years.
538,He's gonna let me babysit it for a few months until he gets out of prison.
561,Something seemed to tell me that on this holy domestic scene I should be an intruder.
567,Such generosity has not been a part of my life and I thank you for your affection and understansing.
592,I took them for my eyes.
594,"He would remind the jury that only a few weeks ago he stood there as the advocate of a powerful company, then represented by the present defendant."
602,"He wrote it for his opera, ""William Tell""."
657,It would be men of his own age who would eventually man those first full-scale expeditions to neighbor worlds.
904,"On 20 November 2009, George and Eve join the Barlows for dinner."
1105,"Frank, it's no skin off your nose if we observe him for a few hours."
1132,You were gonna tell her how you feel.
1180,She wanted to thank you for the ride.
1186,"He wrote a novel about the James Cameron film ""The Abyss"" and the comic book ""Ultimate Iron Man"" for a Marvel Universe series."
1188,"It seemed to her that she was heartening her adversary for the fray, and she took pleasure in doing it effectually."
1205,It was used to train pilots for multi-engined aircraft such as bombers.
1230,Do you need any for this next week?
1252,"He told me that he believed himself to have gone under the keel of the steamer, and to have been struck on the head in rising."
1271,"Thomas Sanders sold his stock for somewhat less than a million dollars, and presently lost most of it in a Colorado gold mine."
1297,"Though Juanita realized Pilar was right about Carlos being involved with the drug cartel after all, instead of realizing her mistake in marrying into a criminal family, which would lead to Juanita's family being killed even though Pilar's role of calling the police to stop the violence that Carlos ordered unintentionally and accidentally caused Juanita's children to be caught in the police vs. cartel violence, Juanita still saw Pilar as the only blame for her family's deaths."
1374,"Ugh, I can never tell her what I want to say."
1419,We're taking mdma for the first time.
1445,He therefore puts it forward as the chief instrument for obtaining the Parliamentary Swaraj which the people of India wanted.
1480,I was wondering if you could watch Tehya for me today.
1538,"The thing was dramatically done, and was well calculated to impress on the outside public the fact that the personal reputation of Mrs. Besant for intelligence and honesty was now pledged to the genuineness of Theosophical wonder-working."
1562,I've already told them what we're callin' the place. . .
1617,Spam emails are usually sent to try to get the person to buy something or do something else that will cause gain for the sender.
1747,Thought maybe you'd join me for brunch.
1809,Its intersection with Madison Street () has marked the base point for Chicago's address system since 1909.
1830,Tell me what you know.
1838,"Since he's framing me for murder, i have no illusions about his. . . adam?"
1896,Business and organizations can also get Hotmail for their own domain name.
1979,"That just shows you how good your eye, the views are, even right next to the side of your head"
1982,- So you're telling me this is over?
2007,"She told me she knew she'd find him some day. """
2025,"Okay, you charged us for eight drinks."
2147,"Well, did you ask him why he did it?"
2166,Please tell me it's not spicy driveway gravel.
2217,The tumult and glitter of the roaring Broadway beneath her window had no charm for her; what she greatly desired was the stifling air of a dressing-room on that fairyland street and the roar of an audience gathered in that capricious quarter.
2242,"Clear the 101 st for Bitanga Airport and stand by for a coded command, general."
2270,"I mean, I was sitting right there, looking you in the face, telling you I was thinking about having sex with Caroline rhea."
2287,Emma told me you're the cutest guy in school.
2382,"The Four Winds Harbour boys belonging to it from the Glen and over-harbour and Harbour Head and Upper Glen were all home on their last leave , and Mr. Arnold thought , properly enough , that it would be a fitting thing to hold a union prayer-meeting for them before they went away ."
2400,"Therefore , when Cadmus and his two brothers came crying home , and told him how that a white bull had carried off their sister , and swam with her over the sea , the king was quite beside himself with grief and rage ."
2463,"Don Arturo was telling me that, uh, you lost to Christ the King."
2499,"Luzerne, however, promptly used the information for his own purposes, letting the English ministers know that he was acquainted with Morris's objects, and thus increasing the weight of France by making it appear that America acted only with her consent and advice."
2507,"I know that this would sometimes involve a slight loss of speed in the chase; but long experience in various whalemen of more than one nation has convinced me that in the vast majority of failures in the fishery, it has not by any means been so much the speed of the whale as the before described exhaustion of the harpooneer that has caused them."
2521,So we did get the wedge cut out by building some kind of a cradle for it.
2623,Mikey won't tell me where he had sex last night.
2714,He played 38 games for Japan until 1971.
2752,I'LL TELL YOU WHO I'M THE SON OF.
2775,"So he took a great stone which was lying there, and placed it in the basket, and when it was about half way up, his false brothers above cut the rope, so that the basket with the stone fell to the ground, and they thought that he was dead, and ran away with the three princesses, making them promise to tell their father that it was they who had delivered them, and then they went to the King, and each demanded a princess in marriage."
2867,"And I can tell you that erm Birmingham City Council told me this erm that  if ever they need anyone to chair a meeting  they would look to the Guild, committees."
2890,Did you tell her you were my kid?
2963,YOU'RE THE ONE WHO'S GOING TO TELL ME WHERE DOUG IS.
2971,"I will speak with you again , but now tell your mistress I am come . ''"
3045,"He does the voice for many characters, such as Cleveland Brown, Herbert, Bruce, and Greased Up Deaf Guy, and Consuela."
3057,"The electric double layer capacitor (EDLC) has the ability to power a device for longer than a traditional capacitor, but cannot give as much instant energy as the traditional capacitor, which can discharge all at once."
3088,And I think we should have a psychiatrist tell us if she's as innocent as she seems.
3092,- And when you went to college. . . you wrote a love-letter to a lecturer!
3129,- Tell me you're leaving!
3154,so i had that whole big huge lunch for six points ?
